period_start,regionid,fuel,perc
2026-07-17T00:30:00Z,12,imports,4.4
2026-07-17T00:30:00Z,12,nuclear,10.9
2026-07-17T00:30:00Z,12,other,0
2026-07-17T00:30:00Z,12,solar,0
2026-07-17T00:30:00Z,12,wind,7.6
2026-07-17T00:30:00Z,13,biomass,6.7
2026-07-17T00:30:00Z,13,coal,0
2026-07-17T00:30:00Z,13,gas,70.4
2026-07-17T00:30:00Z,13,hydro,0.2
2026-07-17T00:30:00Z,13,imports,9.1
2026-07-17T00:30:00Z,13,nuclear,3.2
2026-07-17T00:30:00Z,13,other,0
2026-07-17T00:30:00Z,13,solar,0
2026-07-17T00:30:00Z,13,wind,10.5
2026-07-17T00:30:00Z,14,biomass,0.9
2026-07-17T00:30:00Z,14,coal,0
2026-07-17T00:30:00Z,14,gas,77.5
2026-07-17T00:30:00Z,14,hydro,0.4
2026-07-17T00:30:00Z,14,imports,16
2026-07-17T00:30:00Z,14,nuclear,0.2
2026-07-17T00:30:00Z,14,other,0
2026-07-17T00:30:00Z,14,solar,0
2026-07-17T00:30:00Z,14,wind,5
2026-07-17T00:30:00Z,15,biomass,11
2026-07-17T00:30:00Z,15,coal,0
2026-07-17T00:30:00Z,15,gas,55.8
2026-07-17T00:30:00Z,15,hydro,0
2026-07-17T00:30:00Z,15,imports,7.8
2026-07-17T00:30:00Z,15,nuclear,13.3
2026-07-17T00:30:00Z,15,other,0
2026-07-17T00:30:00Z,15,solar,0
2026-07-17T00:30:00Z,15,wind,12.1
2026-07-17T00:30:00Z,16,biomass,2.7
2026-07-17T00:30:00Z,16,coal,0
2026-07-17T00:30:00Z,16,gas,0
2026-07-17T00:30:00Z,16,hydro,0
2026-07-17T00:30:00Z,16,imports,0
2026-07-17T00:30:00Z,16,nuclear,54
2026-07-17T00:30:00Z,16,other,0
2026-07-17T00:30:00Z,16,solar,0
2026-07-17T00:30:00Z,16,wind,43.3
2026-07-17T00:30:00Z,17,biomass,0.1
2026-07-17T00:30:00Z,17,coal,0
2026-07-17T00:30:00Z,17,gas,93.1
2026-07-17T00:30:00Z,17,hydro,0
2026-07-17T00:30:00Z,17,imports,0
2026-07-17T00:30:00Z,17,nuclear,1.1
2026-07-17T00:30:00Z,17,other,0
2026-07-17T00:30:00Z,17,solar,0
2026-07-17T00:30:00Z,17,wind,5.7
2026-07-17T00:30:00Z,18,biomass,10.2
2026-07-17T00:30:00Z,18,coal,0
2026-07-17T00:30:00Z,18,gas,54.5
2026-07-17T00:30:00Z,18,hydro,0.9
2026-07-17T00:30:00Z,18,imports,7.9
2026-07-17T00:30:00Z,18,nuclear,13.3
2026-07-17T00:30:00Z,18,other,1.1
2026-07-17T00:30:00Z,18,solar,0
2026-07-17T00:30:00Z,18,wind,12.2
2026-07-17T01:00:00Z,1,biomass,0
2026-07-17T01:00:00Z,1,coal,0
2026-07-17T01:00:00Z,1,gas,0
2026-07-17T01:00:00Z,1,hydro,0
2026-07-17T01:00:00Z,1,imports,0
2026-07-17T01:00:00Z,1,nuclear,0
2026-07-17T01:00:00Z,1,other,0
2026-07-17T01:00:00Z,1,solar,0
2026-07-17T01:00:00Z,1,wind,100
2026-07-17T01:00:00Z,2,biomass,2.9
2026-07-17T01:00:00Z,2,coal,0
2026-07-17T01:00:00Z,2,gas,0
2026-07-17T01:00:00Z,2,hydro,0
2026-07-17T01:00:00Z,2,imports,0
2026-07-17T01:00:00Z,2,nuclear,53.1
2026-07-17T01:00:00Z,2,other,0
2026-07-17T01:00:00Z,2,solar,0
2026-07-17T01:00:00Z,2,wind,43.9
2026-07-17T01:00:00Z,3,biomass,5.8
2026-07-17T01:00:00Z,3,coal,0
2026-07-17T01:00:00Z,3,gas,19.1
2026-07-17T01:00:00Z,3,hydro,0
2026-07-17T01:00:00Z,3,imports,11
2026-07-17T01:00:00Z,3,nuclear,46.8
2026-07-17T01:00:00Z,3,other,0
2026-07-17T01:00:00Z,3,solar,0
2026-07-17T01:00:00Z,3,wind,17.2
2026-07-17T01:00:00Z,4,biomass,19.6
2026-07-17T01:00:00Z,4,coal,0
2026-07-17T01:00:00Z,4,gas,0
2026-07-17T01:00:00Z,4,hydro,0
2026-07-17T01:00:00Z,4,imports,43.7
2026-07-17T01:00:00Z,4,nuclear,25.4
2026-07-17T01:00:00Z,4,other,0
2026-07-17T01:00:00Z,4,solar,0
2026-07-17T01:00:00Z,4,wind,11.3
2026-07-17T01:00:00Z,5,biomass,41.3
2026-07-17T01:00:00Z,5,coal,0
2026-07-17T01:00:00Z,5,gas,26.6
2026-07-17T01:00:00Z,5,hydro,0
2026-07-17T01:00:00Z,5,imports,11
2026-07-17T01:00:00Z,5,nuclear,8
2026-07-17T01:00:00Z,5,other,0
2026-07-17T01:00:00Z,5,solar,0
2026-07-17T01:00:00Z,5,wind,13.1
2026-07-17T01:00:00Z,6,biomass,3.4
2026-07-17T01:00:00Z,6,coal,0
2026-07-17T01:00:00Z,6,gas,28
2026-07-17T01:00:00Z,6,hydro,0
2026-07-17T01:00:00Z,6,imports,4.3
2026-07-17T01:00:00Z,6,nuclear,39.3
2026-07-17T01:00:00Z,6,other,0
2026-07-17T01:00:00Z,6,solar,0
2026-07-17T01:00:00Z,6,wind,25
2026-07-17T01:00:00Z,7,biomass,0
2026-07-17T01:00:00Z,7,coal,0
2026-07-17T01:00:00Z,7,gas,97.4
2026-07-17T01:00:00Z,7,hydro,0
2026-07-17T01:00:00Z,7,imports,0
2026-07-17T01:00:00Z,7,nuclear,0
2026-07-17T01:00:00Z,7,other,0
2026-07-17T01:00:00Z,7,solar,0
2026-07-17T01:00:00Z,7,wind,2.6
2026-07-17T01:00:00Z,8,biomass,3.7
2026-07-17T01:00:00Z,8,coal,0
2026-07-17T01:00:00Z,8,gas,51.4
2026-07-17T01:00:00Z,8,hydro,0
2026-07-17T01:00:00Z,8,imports,5
2026-07-17T01:00:00Z,8,nuclear,26.2
